customer_id,name,debit_card_number,debit_card_type,bank_name,transaction_date,amount_spent
163330,Jerry Gonzalez,4920370539232239735,Maestro,Citizens,2024-01-03,992.29
242108,Bradley Rice,6535134589289725,VISA 16 digit,JPMC,2024-02-18,842.93
163330,Jerry Gonzalez,4920370539232239735,Maestro,Citizens,2024-03-15,650.36
76722,Makayla Shelton,4449726533845059300,JCB 16 digit,BOFA,2024-01-05,261.0
876234,Alyssa Hartman,3597786047368953,Diners Club / Carte Blanche,TD Bank,2024-02-02,811.41
372116,Victoria Kelly,2232074722909455,Maestro,BOFA,2024-01-19,142.41
944749,Sandra Larson,30218471172157,VISA 16 digit,TD Bank,2024-01-05,865.87
69873,Jake Hawkins,3521184740934795,Mastercard,JPMC,2024-02-19,944.06
267424,Joseph Cook,2222070531233469,Mastercard,JPMC,2024-03-13,312.44
170771,Adrian Martinez,4712050384448466,VISA 13 digit,TD Bank,2024-03-01,774.89
580736,Kelly Gonzalez,30073420480858,Maestro,BOFA,2024-02-09,396.69
952297,Chelsea Mcmillan,4013002377231,Discover,JPMC,2024-01-30,86.05
41657,Vincent Walker,502083562590,JCB 16 digit,BOFA,2024-03-02,628.53
194070,James Morrison,4280474952859072,Diners Club / Carte Blanche,Citizens,2024-03-02,476.91
949651,Rebecca Weber MD,213190221589718,Discover,BOFA,2024-02-10,218.9
305504,Mandy Arnold,2302920731925459,JCB 16 digit,BOFA,2024-02-19,201.94
350181,Robert Patterson,5551863005772804,VISA 19 digit,Citizens,2024-01-06,524.25
237047,Antonio Cohen,577386652298,VISA 16 digit,Citizens,2024-03-10,376.96
909436,Tonya Davis,501864458242,VISA 13 digit,Citizens,2024-02-11,461.38
861208,Edward Stafford,567150699153,Discover,Citizens,2024-02-03,626.97
989477,Robert Mcdonald,30153912668515,VISA 16 digit,JPMC,2024-03-09,71.6
676207,Kimberly Cross,3519328461171517,VISA 19 digit,Citizens,2024-02-16,474.57
86776,Christina Rosario,060432002255,Diners Club / Carte Blanche,BOFA,2024-03-01,507.69
192997,Sherry Lewis,2268288242212417,Mastercard,Citizens,2024-03-11,783.16
573871,Bridget Carrillo,5374093832918751,VISA 16 digit,JPMC,2024-02-04,616.41
963795,Seth Bennett,6597938726663666,JCB 16 digit,BOFA,2024-01-25,42.29
860236,Jeffery Ward,4786355363293360015,Mastercard,BOFA,2024-01-11,140.95
221330,Dr. Gary Brock,3592270184456843,VISA 16 digit,Citizens,2024-01-18,939.69
768069,Jacob Hull,3517353976931785,JCB 16 digit,JPMC,2024-02-15,483.45
697644,Chelsea Frazier,180063065847311,VISA 19 digit,BOFA,2024-03-05,345.83
654056,Tanya Freeman,30352108223149,Discover,BOFA,2024-02-08,16.42
971564,Donna Mcgrath,3564120524193818,VISA 16 digit,BOFA,2024-03-16,541.46
544526,Amy Duncan,2248834829632330,JCB 15 digit,TD Bank,2024-01-09,916.76
88333,Daisy Moody,4679987774612376552,Discover,Citizens,2024-02-19,79.88
426027,Nancy White,343590454689635,Mastercard,TD Bank,2024-02-09,155.14
774463,Patrick Jones,4302518411133489,VISA 16 digit,BOFA,2024-01-14,523.83
6522,Ashley Henderson,4305631152294803,Discover,JPMC,2024-03-12,155.2
192404,Elizabeth Schroeder,4223814114155183972,American Express,JPMC,2024-01-22,42.68
861806,Eric Reynolds,374490310407326,JCB 16 digit,Citizens,2024-02-13,737.84
517365,Dr. Ashley Mcclure,4207140692229577236,Diners Club / Carte Blanche,JPMC,2024-02-17,633.84
31723,Scott Young,341550211499878,VISA 16 digit,JPMC,2024-01-14,291.59
927303,Brittany Chapman,4335592723957,VISA 16 digit,JPMC,2024-01-22,575.15
340985,Margaret Edwards,4781698052749678453,VISA 16 digit,JPMC,2024-02-18,656.74
563106,Mary Santos,4447154118790490,Mastercard,BOFA,2024-01-01,353.97
355842,Amy Thomas,180084404094472,Maestro,Citizens,2024-02-13,898.81
334873,Tracy Noble,4929965271207852779,VISA 16 digit,Citizens,2024-02-11,852.57
914058,Melissa Torres,341585765675341,Discover,TD Bank,2024-01-24,866.56
221330,Dr. Gary Brock,3592270184456843,VISA 16 digit,Citizens,2024-03-17,56.67
221330,Dr. Gary Brock,3592270184456843,VISA 16 digit,Citizens,2024-02-16,490.94
371203,Margaret Rodriguez,30474523516087,VISA 16 digit,TD Bank,2024-02-08,666.04
