customer_id,name,debit_card_number,debit_card_type,bank_name,transaction_date,amount_spent
860236,Jeffery Ward,4786355363293360015,Mastercard,BOFA,2024-02-20,360.85
733125,Tiffany Berg,3538951392153655,JCB 15 digit,TD Bank,2024-03-03,98.77
811961,Bruce Mcgrath,4918043376903,VISA 16 digit,TD Bank,2024-03-01,349.5
697644,Chelsea Frazier,180063065847311,VISA 19 digit,BOFA,2024-01-21,930.02
317323,Jamie Bryant,180064590520670,Diners Club / Carte Blanche,JPMC,2024-03-08,61.58
186365,Brandon Pacheco,4761359217373514,VISA 19 digit,Citizens,2024-01-11,265.39
6389,Michael Martinez,630490429077,American Express,Citizens,2024-03-12,750.53
829336,Anna Brown,3559229598600652,JCB 16 digit,BOFA,2024-02-12,204.53
372592,Mrs. Carolyn Ruiz,676357972188,VISA 16 digit,TD Bank,2024-02-27,947.83
467566,David Brewer,3504024167709984,VISA 19 digit,BOFA,2024-02-22,970.25
260754,Alexa White,376138890273612,JCB 16 digit,BOFA,2024-03-16,655.69
530894,Kathleen Warren,4238193872607246,Maestro,BOFA,2024-02-03,667.16
499293,Jennifer Valenzuela,4025896883532164,VISA 16 digit,Citizens,2024-01-20,704.41
44495,Tara Cooper,675962740097,Diners Club / Carte Blanche,TD Bank,2024-02-05,906.7
133329,Reginald Martinez,3595096586662721,VISA 13 digit,Citizens,2024-01-12,886.27
785867,Tony Ruiz,4991880597590361511,JCB 16 digit,JPMC,2024-01-18,397.56
133329,Reginald Martinez,3595096586662721,VISA 13 digit,Citizens,2024-03-05,178.85
541795,Tina Burgess,4008489951789,American Express,BOFA,2024-01-23,260.96
897841,Jeffery Valentine,4908758525841464,VISA 19 digit,Citizens,2024-01-31,525.64
350199,Kathleen Stokes,4522968272276261,Maestro,JPMC,2024-01-10,531.48
105645,Stacy Kelly,213189858883568,JCB 16 digit,JPMC,2024-02-03,122.0
188020,Diana Simmons,4805386436327691984,JCB 16 digit,Citizens,2024-01-19,228.7
383971,Kelly Mccoy,3558582371660827,JCB 16 digit,TD Bank,2024-02-13,688.41
293026,Erik Welch,343401004996555,VISA 16 digit,JPMC,2024-03-17,184.15
517365,Dr. Ashley Mcclure,4207140692229577236,Diners Club / Carte Blanche,JPMC,2024-02-05,758.53
687386,Amber Smith,180058669693541,VISA 16 digit,TD Bank,2024-01-15,559.49
546262,Rhonda Stevens,4979492322652304,JCB 16 digit,BOFA,2024-03-13,284.17
420756,Jennifer Smith,4586676807930,American Express,BOFA,2024-02-09,611.85
191482,Patricia Rose,348742576287955,JCB 16 digit,JPMC,2024-01-06,193.14
986540,Karen Douglas,676376071343,VISA 16 digit,TD Bank,2024-03-07,182.19
630089,Lisa Hensley MD,3598605414079721,VISA 16 digit,TD Bank,2024-02-09,66.85
486035,Bryan Hood,4820658719418688,JCB 16 digit,BOFA,2024-03-13,275.77
174972,Daniel Cox,213123795467144,VISA 16 digit,JPMC,2024-01-31,771.17
251055,Kimberly Rubio,2719653335441089,VISA 16 digit,TD Bank,2024-01-09,387.61
760204,Michael Case,6011536484402018,VISA 16 digit,TD Bank,2024-03-16,700.74
226643,Chelsey Burns,4002824222594718,VISA 13 digit,Citizens,2024-03-03,983.97
276887,Tina Williams,3546645878235545,VISA 16 digit,BOFA,2024-02-21,807.41
538181,Charles Mcdonald DDS,503816972973,Diners Club / Carte Blanche,JPMC,2024-03-15,465.28
329579,Joseph Andrews,503895065087,JCB 16 digit,TD Bank,2024-02-19,753.75
577278,Wayne Wilkinson,180033187330546,Discover,JPMC,2024-03-15,629.06
303892,Teresa Gibson,3592777078911774,JCB 16 digit,JPMC,2024-01-16,186.45
199642,Aaron Mendoza,342328643868823,VISA 16 digit,TD Bank,2024-01-18,435.47
840369,Sandra Mccarty,4863323955447549,JCB 16 digit,JPMC,2024-02-16,805.99
426927,Brandon Beck,3555639205700816,JCB 16 digit,TD Bank,2024-01-30,438.36
601329,Katelyn Russell,3538834960381546,VISA 19 digit,JPMC,2024-02-17,800.26
777315,Troy Walton,3513889406070706,Diners Club / Carte Blanche,Citizens,2024-02-06,796.22
751826,Mrs. Laura Faulkner,341335596120285,Mastercard,TD Bank,2024-02-19,696.87
355842,Amy Thomas,180084404094472,Maestro,Citizens,2024-03-03,367.07
784868,Michael Gonzalez,676367172464,Discover,BOFA,2024-03-01,119.9
945316,Barbara Allen,3534677593533510,Mastercard,BOFA,2024-02-06,422.86
660486,Anna Miller,30183644699728,VISA 13 digit,Citizens,2024-03-09,357.11
610168,Francisco Rocha,4921189397535104,American Express,TD Bank,2024-01-29,354.21
118211,Sarah Cowan,375034058344355,JCB 15 digit,TD Bank,2024-03-04,774.59
245606,Logan Miller,4005817483418825473,JCB 15 digit,Citizens,2024-02-07,133.7
185061,Lisa Kennedy,180005709576053,Diners Club / Carte Blanche,BOFA,2024-03-07,522.48
547038,Shannon Morris,4067643094084,American Express,JPMC,2024-01-22,625.65
740429,Bradley Hawkins,4039067738592316,JCB 16 digit,TD Bank,2024-01-19,860.47
340985,Margaret Edwards,4781698052749678453,VISA 16 digit,JPMC,2024-01-19,716.26
86776,Christina Rosario,060432002255,Diners Club / Carte Blanche,BOFA,2024-01-07,818.93
150157,Jose Bell,344837046460408,Discover,Citizens,2024-01-15,880.01
62869,Robin Liu,30396125643870,Mastercard,JPMC,2024-03-11,199.03
487753,Brandon Garza,3552392385782005,Discover,BOFA,2024-02-29,604.65
926810,Wendy Miller,6571230670141059,JCB 16 digit,Citizens,2024-02-12,234.72
462123,Matthew Harvey,4361890884104330495,Maestro,BOFA,2024-02-28,789.24
107550,Jose Kelly PhD,4919236191374687,Maestro,JPMC,2024-01-20,254.88
221240,Melanie Gutierrez,30404320976333,JCB 16 digit,BOFA,2024-02-14,523.55
226643,Chelsey Burns,4002824222594718,VISA 13 digit,Citizens,2024-03-11,321.73
188020,Diana Simmons,4805386436327691984,JCB 16 digit,Citizens,2024-02-15,210.52
599879,Kimberly Morris,6011186456216762,American Express,JPMC,2024-02-07,616.03
593875,Timothy Moreno,4244089534002,VISA 16 digit,Citizens,2024-01-24,360.69
878373,Crystal Ross,30369742012472,American Express,Citizens,2024-02-05,122.12
141212,Brenda Nelson,4700549194030673,VISA 16 digit,BOFA,2024-03-16,851.25
