customer_id,name,debit_card_number,debit_card_type,bank_name,transaction_date,amount_spent
309439,Johnny Hogan,6011269994267065,VISA 13 digit,BOFA,2024-01-13,740.77
673771,Tammie Hicks,213109330253537,JCB 16 digit,TD Bank,2024-02-03,440.88
462391,Stephen Berg,4233368100793399,Maestro,TD Bank,2024-03-17,402.4
983833,Juan Meyer,3510414346524192,Maestro,JPMC,2024-01-09,542.61
909436,Tonya Davis,501864458242,VISA 13 digit,Citizens,2024-01-29,493.07
867733,Mackenzie Torres,3572875761546107,JCB 16 digit,TD Bank,2024-02-27,398.78
355199,Lisa Macdonald,4313092680662,Diners Club / Carte Blanche,JPMC,2024-02-05,192.64
853479,Destiny Flynn,3555438172598364,Discover,Citizens,2024-02-19,579.04
976679,Andrew Gates,4538421214755853,JCB 16 digit,BOFA,2024-02-05,965.09
861346,Michelle Green,349476415386947,JCB 16 digit,BOFA,2024-02-26,178.4
74927,Brittany Burke,2290987453664057,Diners Club / Carte Blanche,JPMC,2024-01-29,427.14
937166,Xavier Brown,4972126892062,Maestro,Citizens,2024-02-24,804.99
421261,Hannah Arnold,6586769774129729,VISA 19 digit,BOFA,2024-01-03,754.49
768269,Michael Pacheco,3511611055024079,JCB 16 digit,Citizens,2024-02-08,543.84
417812,Whitney Hernandez,348133852306273,Mastercard,Citizens,2024-01-03,640.27
548313,Yvonne Brewer,30246512157671,VISA 13 digit,JPMC,2024-01-21,265.58
960390,Matthew Gonzalez,347670074298359,VISA 19 digit,BOFA,2024-03-06,299.84
456153,Jon King,4668427016676646392,Diners Club / Carte Blanche,BOFA,2024-01-19,483.52
57538,Mr. David Johnston,4011254699708,Discover,TD Bank,2024-03-11,929.59
653299,Audrey Lindsey,3590726705422400,VISA 13 digit,TD Bank,2024-01-05,910.93
945504,Joseph Simpson,6011637492136935,JCB 16 digit,BOFA,2024-01-02,719.3
149403,Cynthia Garcia,6575223547669408,JCB 15 digit,BOFA,2024-02-19,534.73
350199,Kathleen Stokes,4522968272276261,Maestro,JPMC,2024-01-20,516.47
420756,Jennifer Smith,4586676807930,American Express,BOFA,2024-03-11,626.92
629001,Tammy Kemp,4020971469548280805,Mastercard,BOFA,2024-02-08,700.84
217564,Angel Norton,30037880607615,JCB 16 digit,TD Bank,2024-02-05,299.59
230545,Luis Anderson,4371535496064716,Discover,JPMC,2024-01-29,350.7
260754,Alexa White,376138890273612,JCB 16 digit,BOFA,2024-03-03,380.28
86554,Beth Sanchez,676121228487,Discover,JPMC,2024-01-01,661.05
238386,Kristina Johnson MD,30122163373695,Mastercard,Citizens,2024-01-18,201.01
44495,Tara Cooper,675962740097,Diners Club / Carte Blanche,TD Bank,2024-01-22,505.39
804494,Rita Williams,2287076300811577,Maestro,BOFA,2024-01-15,134.27
424377,Jennifer Anderson,2720774403879617,Mastercard,Citizens,2024-01-02,16.03
118434,Laurie Jacobs,213175426840990,JCB 16 digit,TD Bank,2024-01-24,519.69
320122,Ronald Keith,3562426958565815,VISA 19 digit,BOFA,2024-01-11,746.95
784533,Karen Shelton,630409835638,VISA 19 digit,JPMC,2024-01-03,32.81
293026,Erik Welch,343401004996555,VISA 16 digit,JPMC,2024-02-27,405.73
894973,Tony White,6530544164485909,JCB 15 digit,JPMC,2024-01-18,322.15
989477,Robert Mcdonald,30153912668515,VISA 16 digit,JPMC,2024-02-16,376.19
574357,Madeline Long,4845282852350953342,Maestro,BOFA,2024-03-09,386.3
322122,Miguel Jackson,4873692843116516818,VISA 13 digit,TD Bank,2024-03-05,772.08
107550,Jose Kelly PhD,4919236191374687,Maestro,JPMC,2024-03-07,34.54
462391,Stephen Berg,4233368100793399,Maestro,TD Bank,2024-01-06,649.03
637062,Sharon Watson,341678141693763,JCB 16 digit,JPMC,2024-03-12,603.45
104016,Antonio Garrett,2706156249435747,Discover,TD Bank,2024-02-25,275.31
160095,Isabel Snyder,675908542615,Maestro,TD Bank,2024-01-06,836.99
348928,Laura Nelson,4561332512947714,JCB 16 digit,JPMC,2024-03-18,838.4
251055,Kimberly Rubio,2719653335441089,VISA 16 digit,TD Bank,2024-02-17,269.52
861208,Edward Stafford,567150699153,Discover,Citizens,2024-02-26,298.4
88333,Daisy Moody,4679987774612376552,Discover,Citizens,2024-02-08,675.54
610168,Francisco Rocha,4921189397535104,American Express,TD Bank,2024-03-09,302.91
